"Order ID","Date","Status","Products","Total"
"1781619303152","2026-06-16 05:15:03","Confirmed","Beef Steak x1","12.99"
"1781619304493","2026-06-16 05:15:04","Confirmed","Beef Steak x1","12.99"
"1781619305996","2026-06-16 05:15:05","Confirmed","Beef Steak x1","12.99"
"1781619307379","2026-06-16 05:15:07","Confirmed","Beef Steak x1","12.99"
"1781619308780","2026-06-16 05:15:08","Confirmed","Beef Steak x1","12.99"
"1781619309991","2026-06-16 05:15:09","Confirmed","Beef Steak x1","12.99"
"1781619311293","2026-06-16 05:15:11","Confirmed","Beef Steak x1","12.99"
"1781619312481","2026-06-16 05:15:12","Confirmed","Beef Steak x1","12.99"
"1781619313635","2026-06-16 05:15:13","Confirmed","Beef Steak x1","12.99"
"1781619314828","2026-06-16 05:15:14","Confirmed","Beef Steak x1","12.99"
"1781619316015","2026-06-16 05:15:16","Confirmed","Beef Steak x1","12.99"
"1781619317264","2026-06-16 05:15:17","Confirmed","Beef Steak x1","12.99"
"1781619318311","2026-06-16 05:15:18","Confirmed","Beef Steak x1","12.99"
"1781619319217","2026-06-16 05:15:19","Confirmed","Beef Steak x1","12.99"
"1781619320340","2026-06-16 05:15:20","Confirmed","Beef Steak x1","12.99"
"1781619321429","2026-06-16 05:15:21","Confirmed","Beef Steak x1","12.99"
"1781619322408","2026-06-16 05:15:22","Confirmed","Beef Steak x1","12.99"
"1781619323472","2026-06-16 05:15:23","Confirmed","Beef Steak x1","12.99"
"1781619324609","2026-06-16 05:15:24","Confirmed","Beef Steak x1","12.99"
"1781619325759","2026-06-16 05:15:25","Confirmed","Beef Steak x1","12.99"
"1781619326782","2026-06-16 05:15:26","Confirmed","Beef Steak x1","12.99"
"1781619327903","2026-06-16 05:15:27","Confirmed","Chicken Meat x1","9.99"
"1781619329201","2026-06-16 05:15:29","Confirmed","Chicken Meat x1","9.99"
"1781619329987","2026-06-16 05:15:29","Confirmed","Chicken Meat x1","9.99"
"1781619330826","2026-06-16 05:15:30","Confirmed","Chicken Meat x1","9.99"
"1781619331701","2026-06-16 05:15:31","Confirmed","Chicken Meat x1","9.99"
"1781619332726","2026-06-16 05:15:32","Confirmed","Chicken Meat x1","9.99"
"1781619333899","2026-06-16 05:15:33","Confirmed","Chicken Meat x1","9.99"
"1781619334827","2026-06-16 05:15:34","Confirmed","Chicken Meat x1","9.99"
"1781619335894","2026-06-16 05:15:35","Confirmed","Chicken Meat x1","9.99"
"1781619336947","2026-06-16 05:15:36","Confirmed","Chicken Meat x1","9.99"
"1781619338121","2026-06-16 05:15:38","Confirmed","Chicken Meat x1","9.99"
"1781619339128","2026-06-16 05:15:39","Confirmed","Chicken Meat x1","9.99"
"1781619340333","2026-06-16 05:15:40","Confirmed","Chicken Meat x1","9.99"
